Total,Ambiguous,Word,POS
61,0/113/61,superus,adj.
60,58/3/2,adsum/es/esse/adfui,PossibleVerb.
60,53/8/7,specto/as/are,PossibleVerb.
60,53/8/7,cogito/as/are,PossibleVerb.
60,50/12/10,excipio/is/ere/cepi/ceptum,PossibleVerb.
60,45/20/15,deduco/is/ere/duxi/ductum,PossibleVerb.
60,33/43/27,diligo/is/ere/lexi/lectum,PossibleVerb.
60,27/91/33,vito/as/are,PossibleVerb.
60,26/72/34,sancio/is/ire/sanxi/sanctum,PossibleVerb.
60,12/89/48,contrarius,adj.
60,12/84/48,quivis/quaeuis/quoduis/quiduis,PossibleVerb.
60,0/264/60,Romani/orum,m.
59,59/0/0,flumen/inis,n.
59,49/12/10,gallus/i,m.
59,43/22/16,expono/is/ere/posui/positum,PossibleVerb.
59,39/31/20,adficio/is/ere/feci/fectum,PossibleVerb.
58,58/1/0,exsisto/is/ere/stiti,PossibleVerb.
58,58/0/0,testamentum/i,n.
58,58/0/0,seu,conj. sub.
58,58/0/0,interficio/is/ere/feci/fectum,PossibleVerb.
58,58/0/0,ignis/is,m.
58,58/0/0,expeto/is/ere/i/itum,PossibleVerb.
58,58/0/0,conscribo/is/ere/scripsi/scriptum : composer/rediger conscriptus,adj.
58,57/2/1,praeda/ae,f.
58,56/2/2,creo/as/are,PossibleVerb.
58,36/27/22,posterus,adj.
58,0/191/58,castra/orum,n. pl.
